GlobalRank,TldRank,Domain,TLD,RefSubNets,RefIPs,IDN_Domain,IDN_TLD,PrevGlobalRank,PrevTldRank,PrevRefSubNets,PrevRefIPs
1,1,google.com,com,434811,2707506,google.com,com,1,1,434323,2701277
21,16,pinterest.com,com,195478,878812,pinterest.com,com,20,16,195150,876935
41,31,sites.google.com,com,116596,290931,sites.google.com,com,41,31,116397,290493
61,9,httpd.apache.org,org,100026,212274,httpd.apache.org,org,61,9,99901,211964
81,58,live.com,com,92276,207110,live.com,com,81,58,92165,207056
101,69,medium.com,com,82763,199603,medium.com,com,101,69,82452,198897
121,86,digg.com,com,75109,190785,digg.com,com,121,86,74952,190476
141,100,typepad.com,com,68822,167212,typepad.com,com,142,101,68699,166923
161,18,ietf.org,org,65772,115814,ietf.org,org,161,18,65651,115627
181,126,ft.com,com,62012,126082,ft.com,com,181,126,61899,125896
201,140,foxnews.com,com,59282,135751,foxnews.com,com,202,141,59151,135493
221,23,pbs.org,org,55600,123571,pbs.org,org,221,23,55545,123261
241,2,ow.ly,ly,53144,105414,ow.ly,ly,241,2,53007,105129
261,11,state.gov,gov,51443,101926,state.gov,gov,263,11,51224,101714
281,184,angelfire.com,com,50051,102535,angelfire.com,com,280,183,49963,102446
301,195,symantec.com,com,47802,81930,symantec.com,com,303,196,47631,81700
321,208,arstechnica.com,com,46100,88988,arstechnica.com,com,322,209,46016,88788
341,36,dmoz.org,org,44499,75863,dmoz.org,org,342,36,44430,75718
361,2,gouv.fr,fr,43217,93793,gouv.fr,fr,363,3,43069,93395
381,43,oecd.org,org,42155,70758,oecd.org,org,382,43,42089,70698
401,254,alexa.com,com,41073,80085,alexa.com,com,400,254,41081,80109
421,48,freebsd.org,org,39821,63809,freebsd.org,org,421,47,39788,63728
441,272,newscientist.com,com,39188,70712,newscientist.com,com,444,275,39103,70642
461,281,gofundme.com,com,38287,81330,gofundme.com,com,463,282,38146,81140
481,1,google.es,es,37406,89098,google.es,es,483,1,37366,88957
501,302,jquery.com,com,36823,62672,jquery.com,com,499,301,36764,62530
521,1,google.it,it,36175,80250,google.it,it,523,1,36140,80054
541,323,freewebs.com,com,35514,71800,freewebs.com,com,546,326,35409,71706
561,335,ibtimes.com,com,34804,66679,ibtimes.com,com,562,335,34771,66604
581,70,networkadvertising.org,org,34197,69559,networkadvertising.org,org,580,70,34145,69614
601,359,mlb.com,com,33581,67473,mlb.com,com,605,360,33399,67356
621,368,bitly.com,com,33185,58324,bitly.com,com,634,374,32926,57845
641,80,phys.org,org,32784,58278,phys.org,org,643,81,32706,58138
661,390,computerworld.com,com,32132,52995,computerworld.com,com,663,392,32041,52855
681,21,timesonline.co.uk,uk,31657,55035,timesonline.co.uk,uk,682,21,31649,54983
701,412,lh3.googleusercontent.com,com,31164,64742,lh3.googleusercontent.com,com,701,412,31141,64706
721,90,aboutcookies.org,org,30801,69872,aboutcookies.org,org,722,90,30743,69634
741,94,icann.org,org,30394,57234,icann.org,org,743,94,30344,57154
